variant,seed,run_name,best_epoch,epochs_run,train_time_s,n_parameters,device,split_dir,n_train,n_val,n_test,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc,test_mse,test_rmse,test_mae,test_ci,test_rm2,test_pearson,test_spearman,test_auroc,test_auprc
heads_1,0,heads_1_seed0,12,12,344.9,1543425,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.47882295631142563,0.6919703435201726,0.46126995743258276,0.7171730626778775,0.3113875736839164,0.5626237792486519,0.5717092759151029,0.7580879444468862,0.5459462169684389,0.48124422231555897,0.6937176819971933,0.46740069290044406,0.726341379840467,0.35378524466277866,0.595986219282114,0.5878654126142957,0.7756193681943581,0.5787718357746889
heads_1,1,heads_1_seed1,11,12,177.3,1543425,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4668212297448119,0.6832431702877182,0.445767763367218,0.72776430225367,0.3280663053945308,0.5757409781236406,0.5947211081787214,0.7510251395420384,0.5484085517897623,0.4648674125810052,0.6818118601058545,0.4494849996165524,0.7344149755132354,0.35810000114804935,0.6168649766874115,0.6075498972287365,0.7695430698792566,0.5728664945022232
no_degree_encoding,0,no_degree_encoding_seed0,12,12,350.9,1542017,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4507235564439299,0.6713594837670277,0.4594049388887119,0.7393961470278634,0.3566377627091205,0.6109512150749236,0.6228686301731776,0.788828396255439,0.5922073214227452,0.4521304229743206,0.6724064418001366,0.46436644532657206,0.741902502675073,0.3983598687997054,0.6375489582845777,0.6238265093660771,0.7861385064211454,0.5871495993511662
no_degree_encoding,1,no_degree_encoding_seed1,12,12,221.5,1542017,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4431773000546818,0.6657156300213191,0.44214177770002616,0.7384759424309302,0.3385253119000367,0.6159327226839626,0.6209886646060303,0.7875093394277678,0.5973593206445843,0.4433641707369937,0.6658559684623948,0.44161883081419134,0.7437287801132135,0.3767151263841061,0.641855627063983,0.6316054584795939,0.7952099132300218,0.6014393233391986
no_edge_features,0,no_edge_features_seed0,10,12,293.7,1144833,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4587009418657318,0.6772746428633895,0.44757059286160517,0.7304098665808446,0.3321448105093192,0.5859870266344003,0.6046284227624081,0.7690546301586604,0.5543605263527355,0.46291540032529527,0.6803788652841116,0.45030029023701823,0.7428778812963645,0.3531292623594734,0.6193610523063695,0.62805124338581,0.7813382985738673,0.5798119564268319
no_edge_features,1,no_edge_features_seed1,11,12,205.4,1144833,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.43897724006082395,0.6625535752381266,0.43756825479101336,0.7372788164506209,0.3603271631901134,0.6094148062615189,0.6184848689593659,0.780288313628972,0.5879453906763722,0.44572286212692247,0.667624791426234,0.44447057438666804,0.745650090520337,0.3872102746227916,0.634166794399403,0.634010253665542,0.7945150021494247,0.6060223914764319
no_residual_norm,0,no_residual_norm_seed0,12,12,368.4,1539329,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.6291789796517305,0.793208030501287,0.5197445216505162,0.6628102799944654,0.09616183494844388,0.3167264637590767,0.4372886109875946,0.6294994066716477,0.29749096244173384,0.6553204872756307,0.8095186762982253,0.5318515113298811,0.6738300236874933,0.11768613117840915,0.35969352396377186,0.4651397208890267,0.6492462405936585,0.34766369923054474
no_residual_norm,1,no_residual_norm_seed1,7,11,154.1,1539329,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.6293885070289663,0.7933400954376164,0.5272976311530856,0.66036098775889,0.09584603799530948,0.31205391604192306,0.43040468878746085,0.6302943567881159,0.3050446952072077,0.6520458962972487,0.8074935890130948,0.5385973166770951,0.6723704932000756,0.119005508806278,0.3567572686068285,0.4632896756421133,0.6477865099603922,0.34113931597864533
protein_cnn,0,protein_cnn_seed0,12,12,825.3,1659521,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.45990094628720596,0.6781599710151035,0.4312490008508607,0.7408206963665009,0.345037937932484,0.5889351024162668,0.6263739926898221,0.7692936096338944,0.5584207198998687,0.46288263521984874,0.6803547862842215,0.43549241038823805,0.746113400145781,0.37181714421373885,0.6221979753954613,0.6335342721122782,0.774076686463633,0.5577865114417362
protein_cnn,1,protein_cnn_seed1,11,12,569.6,1659521,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.44806590830458487,0.6693772540986024,0.43671484435308855,0.7427803594894403,0.3502256427202482,0.5981756461401975,0.6286602714076566,0.7843625016481345,0.5822269414132462,0.4471844671104264,0.6687185260708921,0.44351401067621093,0.7454376526359506,0.39343790373724835,0.6313072656793937,0.6313971596530475,0.7835591968246945,0.5836613067920865
protein_composition,0,protein_composition_seed0,12,12,413.1,1266049,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.5750090438709322,0.7582935077336033,0.548865199139713,0.6364683484018827,0.17052101871557981,0.4391425238845094,0.3722646788212872,0.7117951478925856,0.448365049846424,0.6174205416585752,0.7857611225166178,0.5636529794815395,0.6326859108747546,0.1633284310982263,0.43112749233469666,0.36319529399807865,0.7058006293849307,0.4455978963443795
protein_composition,1,protein_composition_seed1,11,12,231.2,1266049,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.5718214203052342,0.7561887464814814,0.5389585940826714,0.6350913859676348,0.1774189274876533,0.42431702702836005,0.3687066586498476,0.7074429745528061,0.4415851984363355,0.5882369827695786,0.7669660897129538,0.5468655461409828,0.6444545107580381,0.20382698088075393,0.4576120032428839,0.3954187773818437,0.7223392000801339,0.4796976995096534
