epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6334286427736754,0.0005,17.594802379608154,0.6681799089131041,0.8174227235115893,0.6055072986263951,0.6517729848570444,0.09928024339564896,0.3545591463711655,0.4180780239600767,0.6732634158132993,0.39175149059965797
2,0.5564348620113522,0.0005,15.045167207717896,0.5626546615114631,0.7501031005878213,0.4938955744732404,0.6831994529608227,0.19637665627876447,0.46387529534748595,0.49413259095046985,0.731095350063728,0.4521841175213812
3,0.5294538000451005,0.0005,15.628907918930054,0.5365561258949226,0.7324999152866317,0.4923908056931145,0.6862075568768619,0.22741400053593547,0.48012302398423873,0.5005197615945267,0.7427465608930691,0.473645845062188
4,0.5090218957256717,0.0005,13.49214792251587,0.5730248683578469,0.7569840608347358,0.5561678238336553,0.6987143126883887,0.23808553121259937,0.5176770724002938,0.5304495010605231,0.7539236584186702,0.5019268675503651
5,0.48605758489115414,0.0005,14.322842121124268,0.49370170095886035,0.7026390972319007,0.45382917560621167,0.7172898321500948,0.2880341589230944,0.5452226457823777,0.5775872659008572,0.758855975036259,0.5308343898563702
6,0.47094697442726646,0.0005,14.913812637329102,0.4943593061416817,0.7031068952454397,0.459331612155329,0.71223224244018,0.28209471823263205,0.5459221707416918,0.565090766943263,0.7514756295873071,0.5397665533643298
7,0.4638832144627,0.0005,16.225043058395386,0.4905450546412584,0.7003892165369613,0.4567178518681946,0.7114504029789019,0.28930718672762085,0.5453497021458812,0.5603038903033205,0.7450863622379467,0.5364252492497121
8,0.4486681333639578,0.0005,13.385189294815063,0.48462952104956764,0.6961533746593258,0.4495653804190555,0.7185188738453965,0.28296586389614736,0.5714014938336238,0.5782316687389554,0.7661736913813564,0.5682064036455184
9,0.43041488805460765,0.0005,14.70948314666748,0.45669050443178427,0.675788801647219,0.45121199092710973,0.7265398472479481,0.33137291398343177,0.5915831100128455,0.5959978086276554,0.7872297059728388,0.5882467601383927
10,0.42807318046902093,0.0005,20.998353481292725,0.4544140969040714,0.6741024379900071,0.44427022354378887,0.7306053742241806,0.3305086457363192,0.5941875343267959,0.6051188590137105,0.7765591350591131,0.5859814603464957
11,0.4222026933978629,0.0005,15.595116376876831,0.46429963479398856,0.6813953586531013,0.44284140825575585,0.7334623084961545,0.3173090931102906,0.5922468308167529,0.6130414492073285,0.7729249989012439,0.5783175691820016
12,0.4076861708549465,0.0005,13.451602458953857,0.44750149429593816,0.6689555249012734,0.42543831836199486,0.73328228093015,0.36033360176993373,0.6075118777738271,0.6090751254394027,0.7792335076693183,0.5998671311903394
