epoch,train_loss,train_bce,train_ddi,epoch_time_s,lr,val_jaccard,val_prauc,val_f1,val_precision,val_recall,val_avg_drugs,val_ddi_rate,val_precision@10,val_jaccard@10,val_hit_rate@10,val_n_visits,val_select_score
1,0.1547290326115933,0.1547290326115933,0.0,17.2678804397583,0.002,0.12975756708075414,0.4333843311289269,0.22348545911135592,0.6410742611116506,0.1443926320544999,5.622705642420122,0.1989284309870232,0.5666893269884432,0.18350516505497944,0.9449354180829368,1471,0.12975756708075414
2,0.11999500368503814,0.11999500368503814,0.0,20.502637147903442,0.002,0.1900677108944538,0.4534427102308529,0.31121082655132604,0.6227981720673768,0.22259817972772009,8.756628144119647,0.16956342426206328,0.5993881713120327,0.19924662653049227,0.9462950373895309,1471,0.1900677108944538
3,0.11652157582501148,0.11652157582501148,0.0,16.233901023864746,0.002,0.18267471601835236,0.46028755434293644,0.29860796721471156,0.6598855653750283,0.2023599775849447,7.868116927260367,0.1236895201171025,0.6166553365057784,0.20928839289210066,0.991162474507138,1471,0.18267471601835236
4,0.11340625584125519,0.11340625584125519,0.0,15.631035566329956,0.002,0.23346368404353612,0.5001833923592511,0.3666980352887,0.6730653276445455,0.2648129117867902,9.930659415363698,0.12315604276627419,0.6276002719238614,0.21975182106244046,0.9918422841604351,1471,0.23346368404353612
5,0.11096861150036468,0.11096861150036468,0.0,16.296318531036377,0.002,0.2461224813417771,0.5068209577567736,0.3736001695522967,0.6723295320373665,0.2790531859090902,10.48402447314752,0.13840353944271358,0.6365737593473828,0.22406859863998418,0.9925220938137321,1471,0.2461224813417771
6,0.10857121139130693,0.10857121139130693,0.0,14.938475608825684,0.002,0.26740615996094325,0.5272388526502555,0.3950080709073868,0.6897428938976591,0.29823836194173287,10.832087015635622,0.1087200199274073,0.6479945615227737,0.22878546768957753,0.991162474507138,1471,0.26740615996094325
7,0.10570035478536119,0.10570035478536119,0.0,14.272936820983887,0.002,0.27562766990319076,0.5361008745279924,0.4017247896140903,0.686027103908891,0.31225092730311704,11.632902787219578,0.11614575039448731,0.6524813052345343,0.22974597536349112,0.9918422841604351,1471,0.27562766990319076
8,0.10399307247172011,0.10399307247172011,0.0,14.04084825515747,0.002,0.2900428343525834,0.5412989789483833,0.4237955068961539,0.68083388159488,0.3305716084898858,12.175390890550645,0.11943186347331425,0.653229095853161,0.22980120243363486,0.991162474507138,1471,0.2900428343525834
9,0.10267962008080583,0.10267962008080583,0.0,13.836057186126709,0.002,0.2709470270758111,0.5466060353378858,0.39531051832961767,0.7057264149595297,0.3026346147269355,11.10469068660775,0.11896481882036428,0.6593473827328349,0.23257656953759345,0.9932019034670292,1471,0.2709470270758111
10,0.10134020574549411,0.10134020574549411,0.0,16.720388412475586,0.002,0.2973014501588639,0.5509205140755256,0.42959166984383584,0.680455590581758,0.34020830366413946,12.944935418082936,0.12326976881166249,0.6612508497620666,0.2340507378230266,0.9918422841604351,1471,0.2973014501588639
11,0.10015731114656368,0.10015731114656368,0.0,16.71017813682556,0.002,0.2884235583777318,0.5533846506741034,0.4182059549436119,0.6962041972887493,0.3252910682526878,11.904146838885111,0.11489964614497376,0.6638341264445955,0.23513438049077892,0.9918422841604351,1471,0.2884235583777318
12,0.09924738616385359,0.09924738616385359,0.0,15.670723915100098,0.002,0.3114212246409871,0.5606530836664451,0.4464027239487658,0.6798196959164213,0.3611210156573938,13.721957851801495,0.11452049667561974,0.6699524133242692,0.23878969445734224,0.9918422841604351,1471,0.3114212246409871
13,0.09810638950860247,0.09810638950860247,0.0,17.98572278022766,0.002,0.29900484854503645,0.5666760669714339,0.4318474233608924,0.704745132693078,0.3395018461065734,12.384772263766145,0.11271759837088616,0.6749830047586676,0.2415593020794821,0.9938817131203264,1471,0.29900484854503645
14,0.09717836452925459,0.09717836452925459,0.0,15.473970174789429,0.002,0.32899940522763305,0.5695340220074887,0.4675910362669612,0.6695169574395203,0.3922000665961418,15.291638341264447,0.10854256307720765,0.6787219578518014,0.24303350104408725,0.9932019034670292,1471,0.32899940522763305
15,0.09644276585350646,0.09644276585350646,0.0,15.626497507095337,0.002,0.3207134959522892,0.5702881429380104,0.4570738808959848,0.682748149460365,0.37601685209551294,14.396329027872195,0.10392485842070821,0.6774983004758668,0.24304510334295854,0.9932019034670292,1471,0.3207134959522892
