epoch,train_loss,train_bce,train_ddi,epoch_time_s,lr,val_jaccard,val_prauc,val_f1,val_precision,val_recall,val_avg_drugs,val_ddi_rate,val_precision@10,val_jaccard@10,val_hit_rate@10,val_n_visits,val_select_score
1,0.27701679442791227,0.27701679442791227,0.0,4.666100025177002,0.002,0.2076770837917282,0.4630210013365223,0.33396843601617604,0.6306046851004263,0.24070403074309576,9.6043507817811,0.1106483026863852,0.6200543847722638,0.2081039826668003,0.9483344663494222,1471,0.2076770837917282
2,0.12757545027961123,0.12757545027961123,0.0,4.223989725112915,0.002,0.23930912171382726,0.516680659754244,0.37278655419188467,0.6933021588354262,0.27041775238055316,10.327668252889191,0.12274811402910533,0.6522773623385452,0.22831903814337481,0.991162474507138,1471,0.23930912171382726
3,0.11364534053396672,0.11364534053396672,0.0,3.913470506668091,0.002,0.27707217274949186,0.5503598792471024,0.4114793862451,0.7084045372434211,0.31037132743440166,11.287559483344664,0.11252222711626617,0.6708361658735553,0.2378241442314965,0.9925220938137321,1471,0.27707217274949186
4,0.10651493722454031,0.10651493722454031,0.0,4.132397413253784,0.002,0.2907853693562717,0.5674567584804967,0.42655194218695575,0.7108753487001248,0.32869868838379557,11.99320190346703,0.11750342487631406,0.6819850441876275,0.2438928924977605,0.9938817131203264,1471,0.2907853693562717
5,0.10200109396209107,0.10200109396209107,0.0,4.532010793685913,0.002,0.3028117650125028,0.5795290473498352,0.4406544396051144,0.7140849425334849,0.34315118393414956,12.485384092454114,0.11486849168008588,0.6926580557443915,0.24915583857737342,0.9938817131203264,1471,0.3028117650125028
6,0.09861843335501691,0.09861843335501691,0.0,5.660003900527954,0.002,0.31888874131449246,0.5888445783893369,0.4586147389326729,0.7156670274515782,0.3628008021603628,13.142760027192386,0.11132365096233321,0.700475866757308,0.25390524586271807,0.9938817131203264,1471,0.31888874131449246
7,0.09620908362434265,0.09620908362434265,0.0,5.909966230392456,0.002,0.33230364279210794,0.5987732084728666,0.47436540418037215,0.7148218676401109,0.3816277162085672,13.804894629503739,0.10621765878079373,0.7059823249490143,0.25681282663888283,0.9938817131203264,1471,0.33230364279210794
8,0.09410935576925887,0.09410935576925887,0.0,5.925451278686523,0.002,0.333880333908486,0.6062171637379735,0.47674407985936407,0.7258382281545811,0.37969625332478557,13.465669612508497,0.10400684951185736,0.7108769544527531,0.25963475586480195,0.9938817131203264,1471,0.333880333908486
9,0.09238553126441672,0.09238553126441672,0.0,5.243247747421265,0.002,0.34223302813612233,0.6116021366252824,0.4860188297511343,0.7284715039182981,0.3906403716088839,13.851801495581237,0.10283487197352377,0.7163834126444595,0.26268318567242716,0.9938817131203264,1471,0.34223302813612233
10,0.09092357199876866,0.09092357199876866,0.0,4.354382514953613,0.002,0.3483912125969354,0.6169228651275172,0.49290138158829566,0.7287252412549221,0.39891421776374436,14.123045547246772,0.10367152583434276,0.7206662134602311,0.2653804893761937,0.9945615227736234,1471,0.3483912125969354
11,0.08952537876494387,0.08952537876494387,0.0,3.936661720275879,0.002,0.35139956321112187,0.6203997198861885,0.4973009234515286,0.7262755769882072,0.4039114529387978,14.309993201903467,0.1028527442552488,0.721889870836166,0.26557293563914314,0.9945615227736234,1471,0.35139956321112187
12,0.08830649120376464,0.08830649120376464,0.0,4.3173863887786865,0.002,0.3492792524090473,0.6235312181900872,0.49405949507758234,0.7361517102637817,0.39860623924984784,13.985723997280761,0.09962803122621981,0.72324949014276,0.26652992060133684,0.9945615227736234,1471,0.3492792524090473
13,0.08714609926051282,0.08714609926051282,0.0,3.5691397190093994,0.002,0.3570323856789112,0.6262797597156298,0.5033126170803123,0.7284844607156798,0.41207239746366003,14.639021074099253,0.0991685326094945,0.7245411284840244,0.2676633586916471,0.9938817131203264,1471,0.3570323856789112
14,0.0863038161967663,0.0863038161967663,0.0,3.8494961261749268,0.002,0.3615003325474281,0.628598414438469,0.5083644452924861,0.7298813415914008,0.4168817701863964,14.730115567641061,0.10288756015750328,0.7275322909585314,0.2693702530517167,0.9938817131203264,1471,0.3615003325474281
15,0.08534432630589668,0.08534432630589668,0.0,4.181722640991211,0.002,0.3602879735689278,0.6296194815269818,0.5065378663486144,0.7328438056417269,0.4146453861385728,14.536369816451394,0.10098866890798157,0.7262406526172671,0.2689216701170666,0.9938817131203264,1471,0.3602879735689278
