epoch,train_loss,train_bce,train_ddi,epoch_time_s,lr,val_jaccard,val_prauc,val_f1,val_precision,val_recall,val_avg_drugs,val_ddi_rate,val_precision@10,val_jaccard@10,val_hit_rate@10,val_n_visits,val_select_score
1,0.4055653385659482,0.4055653385659482,0.0,3.950218677520752,0.003,0.29529982414232264,0.5710828512299669,0.43796670268683485,0.7098914756149534,0.33611035332730127,11.246770904146839,0.1175618286285286,0.6865397688647179,0.24695580091795957,0.9925220938137321,1471,0.29529982414232264
2,0.2344217966211603,0.2344217966211603,0.0,4.881712913513184,0.003,0.31195344027490307,0.5936205240049693,0.4553838090430444,0.721272885901712,0.35374814307883334,11.842963970088375,0.1127557210392001,0.700951733514616,0.25505030137198315,0.9938817131203264,1471,0.31195344027490307
3,0.18466957579267787,0.18466957579267787,0.0,4.49665904045105,0.003,0.3238533217058384,0.6045360182913271,0.4685837950921375,0.7281064756129554,0.36768818913057016,12.313392250169953,0.10814179625611028,0.7108769544527532,0.2607717371195499,0.9938817131203264,1471,0.3238533217058384
4,0.15917990309126834,0.15917990309126834,0.0,4.05797004699707,0.003,0.3330129837175291,0.6116886420575323,0.4785880846495923,0.7308217714088234,0.3790312726059931,12.714479945615228,0.10855701900633545,0.7157715839564921,0.26351418759890993,0.9938817131203264,1471,0.3330129837175291
5,0.1421155517405652,0.1421155517405652,0.0,3.801574230194092,0.003,0.3388538104442942,0.6161804756580224,0.48464435981783444,0.7327017903160726,0.38619289284724073,12.989802855200544,0.10561660961257764,0.7205982324949014,0.2663181912706521,0.9938817131203264,1471,0.3388538104442942
6,0.13042685278552643,0.13042685278552643,0.0,3.7006449699401855,0.003,0.3427279671255645,0.6195859141460979,0.4888976563089806,0.7356323262687198,0.3907929123673217,13.122365737593475,0.10438996397487806,0.7218218898708363,0.2668803448925146,0.9938817131203264,1471,0.3427279671255645
7,0.12204936479634428,0.12204936479634428,0.0,3.725149393081665,0.003,0.34702702740494945,0.6218222172671144,0.4938448506698327,0.7341061268478087,0.3973548329522415,13.43031951053705,0.10365276868223823,0.7256288239292997,0.26926010303081815,0.9945615227736234,1471,0.34702702740494945
8,0.11528168317485363,0.11528168317485363,0.0,4.16300892829895,0.003,0.3489933410073922,0.6234497136788668,0.4957384368707313,0.7339265206058359,0.3999761894665597,13.540448674371175,0.1017754912350291,0.7267165193745752,0.2696626728615927,0.9945615227736234,1471,0.3489933410073922
9,0.10995919859789788,0.10995919859789788,0.0,3.7376179695129395,0.003,0.35274777017765874,0.6246736672036439,0.49972771615863704,0.7320005139367928,0.40522274915318146,13.789259007477906,0.10216117863804108,0.7271244051665533,0.2702945483659368,0.9945615227736234,1471,0.35274777017765874
10,0.10504890724699548,0.10504890724699548,0.0,4.124305009841919,0.003,0.35382292886482025,0.625692988538894,0.5008242277982939,0.7314266479115996,0.4069456483274944,13.869476546566961,0.10138909180817945,0.7267845003399047,0.27004207522844115,0.9945615227736234,1471,0.35382292886482025
11,0.10107489326532851,0.10107489326532851,0.0,4.5209527015686035,0.003,0.35695807237711163,0.6263208933785024,0.5044610753970249,0.7314881812815344,0.41137131604884425,14.026512576478586,0.10192637151371926,0.7278042148198506,0.27074501290329633,0.9952413324269205,1471,0.35695807237711163
12,0.09799368774637263,0.09799368774637263,0.0,4.037912845611572,0.003,0.358277439021793,0.6266221186929176,0.5060341635979416,0.7274816995624468,0.41456106084743255,14.236573759347383,0.10072214873917311,0.7272603670972129,0.2707015603518144,0.9945615227736234,1471,0.358277439021793
13,0.09484074074537197,0.09484074074537197,0.0,3.8020811080932617,0.003,0.3578930182655297,0.6270061906903988,0.5054768419059277,0.7278030096435381,0.41411604857962,14.233854520734194,0.10090110253171977,0.7273283480625425,0.2707012310210663,0.9945615227736234,1471,0.3578930182655297
14,0.09230155228300298,0.09230155228300298,0.0,3.951343536376953,0.003,0.358773945636282,0.6272053402257054,0.5064176896022525,0.7284559335151357,0.41493731085309027,14.26308633582597,0.09985496813533484,0.7285520054384771,0.27161067543087153,0.9945615227736234,1471,0.358773945636282
15,0.08966039137003269,0.08966039137003269,0.0,4.2375030517578125,0.003,0.3597505320257614,0.6271907644189049,0.5076463312405085,0.7260437459131935,0.4171271204187313,14.378653976886472,0.10028421261611443,0.7295037389530931,0.27198700943342374,0.9945615227736234,1471,0.3597505320257614
