epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6284143124865308,0.0005,23.165117979049683,0.6777953972939424,0.8232833031793748,0.6232828261038622,0.6335355426397774,0.09950035726872518,0.3433371685915831,0.3671232684145281,0.6592993231661759,0.3746652266983109
2,0.571689595653342,0.0005,20.27720069885254,0.6725195738112225,0.8200729076193303,0.6137598344127624,0.6700316405136175,0.1307541348975886,0.4095435944656922,0.4632703111847268,0.686097437700523,0.39974437452926637
3,0.5344938351399487,0.0005,17.673297882080078,0.5403019967295813,0.7350523768613917,0.5046360228247101,0.695239704219678,0.21097481802689233,0.4929167678338422,0.5256698794254128,0.720154485122841,0.4700644594909509
4,0.4989380089331176,0.0005,18.737746953964233,0.519133958487264,0.7205095131136465,0.483307196847743,0.6968114098489986,0.24160567896536714,0.5104752550893441,0.5271632680497481,0.7210247000395551,0.49497676426539594
5,0.48040607212643344,0.0005,19.87052083015442,0.5210777732888708,0.7218571695902666,0.5232947118931813,0.6988758023840084,0.284400785937302,0.5373694557205523,0.5316325453094032,0.7456802399683558,0.5280419985874991
6,0.464578406301255,0.0005,16.159422636032104,0.49299060639106523,0.7021328979552698,0.46699622008732616,0.7012889744391434,0.27667438387656107,0.5481367983006009,0.5350684879287869,0.7380081747461873,0.5254898686812942
7,0.44497760170270295,0.0005,18.14834427833557,0.4854387591933955,0.6967343533897231,0.46371720367120367,0.7139014152230698,0.2847714917797923,0.560436549194541,0.564138567436731,0.7583895530259745,0.5442824974388023
8,0.4347181327779719,0.0005,15.71493124961853,0.4927296407098614,0.7019470355446068,0.43868260316731217,0.7276026214459844,0.3127006261839042,0.5779897223286004,0.6002177282374014,0.7469460071199403,0.5367656886233552
9,0.4241146856823837,0.0005,17.572689294815063,0.5009490477543965,0.7077775411486271,0.4474650142651844,0.7254386595246813,0.29230543144060717,0.5558791255398243,0.5954938739350145,0.7495440161736914,0.5313199132308883
10,0.42023844123443266,0.0005,17.071244716644287,0.45615621851700033,0.6753933805694281,0.4394214535286413,0.7345808874174109,0.33671766670869224,0.5900234859347373,0.6124910918008803,0.7584043862347821,0.5600501940587462
11,0.4081437594227636,0.0005,17.413063049316406,0.44886437278854224,0.6699734120012094,0.4400084905304201,0.7394743118627846,0.3357683207789982,0.6010359242870925,0.6212462733423884,0.7858145079769701,0.5860738467219488
12,0.4007047892300226,0.0005,19.096712827682495,0.4431772926382689,0.6657156244510631,0.44214177405231314,0.7384759424309302,0.3385253241829305,0.6159327282503715,0.6209886646060303,0.7875093394277678,0.5973593206445843
