epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6089853957737107,0.0005,76.67850065231323,0.6146176948150636,0.7839755702922532,0.5179261087206035,0.6674554498663362,0.11603234665181227,0.35533389106606117,0.4559458312839823,0.6646760866698898,0.35235367180385296
2,0.5565833332140643,0.0005,93.38393044471741,0.5901226248579513,0.7681943926233459,0.5255710575056745,0.6693419170680657,0.14928515782514895,0.4027943284846006,0.46075163095365723,0.6830736606161825,0.4077540751693643
3,0.5274375161970896,0.0005,84.07244968414307,0.5545326063242447,0.7446694611196599,0.5280866250047469,0.6817645835706309,0.21248221033528145,0.46430858830259236,0.49520743504931175,0.7253406144244714,0.4489229267314556
4,0.5036323838786373,0.0005,93.65966320037842,0.5299488405314842,0.7279758516128706,0.4715345085199164,0.7028688978872943,0.24396527631495318,0.527427530220884,0.5434240730792465,0.7412473080472904,0.490609127276904
5,0.4787084213666031,0.0005,95.80987167358398,0.491119216734007,0.7007989845412214,0.45350437634456325,0.720616902103991,0.2986948018090457,0.5478546126246829,0.5824312321910619,0.753438008174746,0.514075157722609
6,0.46134290055877025,0.0005,73.0734589099884,0.5355289540135156,0.7317984381054087,0.49796462677105713,0.696107544110576,0.22197737688642177,0.49310892967265185,0.5252452337497417,0.7316090185909551,0.4698005334683718
7,0.4503317502002589,0.0005,57.38742804527283,0.4877216673309027,0.6983707234205216,0.46734569693847866,0.7095324022863119,0.28992588753471105,0.5494819050162851,0.5568492455704346,0.756209620709357,0.5316656969983092
8,0.4373953567891947,0.0005,57.27909731864929,0.49331321845861836,0.7023625975652593,0.4583217213116349,0.7255793180051264,0.27608145474864615,0.5488361099076053,0.5914566734645921,0.7615600140640795,0.5267702300954223
9,0.42491265113896987,0.0005,48.40055704116821,0.4647786327021986,0.6817467511489869,0.4505892428144008,0.7312134928176264,0.3307074850160658,0.5794259864383059,0.6063508965588551,0.7744231529908145,0.5629431306838976
10,0.4138413639893335,0.0005,47.156798124313354,0.4659067683481837,0.6825736358431841,0.4543884364888864,0.7363209627767208,0.3191277849705652,0.5831551643303048,0.6127295909285926,0.7730074056168417,0.5741630377270026
11,0.40590028755918,0.0005,47.98462724685669,0.46686616689931354,0.6832760546801809,0.46574157661343957,0.7273971759752258,0.314560903390397,0.5955992835970306,0.5958024830242146,0.7769887487364303,0.5721038623342277
12,0.3943352282011225,0.0005,49.216898918151855,0.459900949357984,0.6781599732791548,0.4312490008508607,0.7408206963665009,0.34503793552952117,0.5889350984485101,0.6263739926898221,0.7692936096338944,0.5584207198998687
