epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6352614360487011,0.0005,24.363364458084106,0.6351981426818348,0.7969931886044164,0.5657335606423834,0.6405849022996897,0.09369270494298325,0.3236678547979945,0.38662625875178874,0.645991737353316,0.3469857453321148
2,0.5796376770636372,0.0005,17.193711519241333,0.5940552225366421,0.7707497794593535,0.5096853522103338,0.6661061986816326,0.15274922360939597,0.3973745223659025,0.45418337715406765,0.6700001098756208,0.36120471021464784
3,0.5434808659920909,0.0005,15.579842805862427,0.5684203687404329,0.7539365813783232,0.5432763912299822,0.6852390009272757,0.20003178793019782,0.44890543383678244,0.5027954730970837,0.7033687865336439,0.4042478047655137
4,0.5257358512797097,0.0005,14.629457235336304,0.5404157054366967,0.7351297201424363,0.5095344422677198,0.689875188532053,0.21665039670963987,0.47990961633684154,0.5095928064246615,0.7166945018239355,0.4449907312634752
5,0.5050694672284702,0.0005,14.350677728652954,0.5583187096195056,0.7472072735322546,0.48038850598673694,0.6891858473106328,0.21334725590316467,0.47077904914351776,0.5111653416697766,0.6921565288093878,0.4110630202103978
6,0.48343342050834714,0.0005,14.188953399658203,0.5214225040044882,0.7220959105302344,0.4788703954934162,0.7042464336577396,0.24690365586404828,0.5043260454535544,0.5472283151975555,0.7112084120775283,0.4625977726831657
7,0.47178774539068513,0.0005,12.878720998764038,0.5082803259023962,0.7129378134889439,0.4752957262589584,0.707979234527376,0.26337615308119217,0.522024544297111,0.5530993892604189,0.7355766272579441,0.5035108116512457
8,0.46847874188024585,0.0005,13.265641689300537,0.5022649290172896,0.7087065182551163,0.45698726790234023,0.7135377289618104,0.2863385294834804,0.5364796127167067,0.5676810462910958,0.7379070891750537,0.5041574544535773
9,0.4540738398445312,0.0005,12.86472225189209,0.5008708411318076,0.7077222909671614,0.44843626691086264,0.7147111570459579,0.2858689624220497,0.5451392857729748,0.568992359696071,0.7314019030457521,0.5162559694230806
10,0.4438603210092544,0.0005,13.832926034927368,0.4908267256792059,0.7005902694722543,0.4595119656272204,0.7178006747020372,0.28204765252758923,0.5508177278033811,0.5740988976430126,0.7440914384916274,0.5261908466795082
11,0.4320957177082427,0.0005,13.607939958572388,0.466036555086464,0.6826687008252715,0.4494067462413705,0.7250791777288701,0.31985101557070145,0.5770722453224582,0.5931313430952698,0.7585516195666507,0.5399461444871148
12,0.42481604481880425,0.0005,23.962677478790283,0.46981544250966284,0.68543084443995,0.46387226754839855,0.7251166356937712,0.3256442198930858,0.5743813087526314,0.5896672402832709,0.7653227046982816,0.5530473434125915
