epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6256170829665137,0.0005,15.096781969070435,0.6220677804271414,0.7887127363160439,0.5264503383352763,0.6509471896206273,0.11231030818824846,0.342268799919978,0.4127721807956654,0.6666362677449129,0.3399911846616856
2,0.5787260819421348,0.0005,14.144467115402222,0.7555508179501643,0.8692242621729817,0.5734831886599533,0.625311417111257,0.04591588036042579,0.2373151962426531,0.3441427077339845,0.6265151848107942,0.3279413724118567
3,0.5477894973274627,0.0005,14.81536316871643,0.6014137395583992,0.775508697280952,0.5252071511122302,0.6684929972716841,0.1393538216798003,0.4109206378145537,0.45601860372659525,0.6791230826704172,0.4038335782983308
4,0.5200902398389863,0.0005,15.408751010894775,0.5533581787660073,0.7438804868834827,0.5117308348733924,0.6851411515495749,0.20158637736765914,0.4588606999153527,0.4973617344221484,0.7083043994198567,0.44751850776160756
5,0.5086316816758174,0.0005,14.368231058120728,0.5373968112128067,0.733073537384079,0.5148370416935484,0.6904017022733927,0.23973976970183983,0.49222130320335844,0.5080829487372855,0.7199468201995342,0.48286182201720795
6,0.4872592771098511,0.0005,14.935494899749756,0.6184214896267253,0.786397793503215,0.5644038642562302,0.6912343775441794,0.17817089662291088,0.49488531055449736,0.5104860274948037,0.7334856941941721,0.5008608089208162
7,0.46977713958116174,0.0005,15.350175142288208,0.5416833688723064,0.7359914190208378,0.5070333217389017,0.7019710534020623,0.2219213738364354,0.5058632575961247,0.5389195801131277,0.7391151716257198,0.5067461906209212
8,0.46189524268659377,0.0005,14.010939359664917,0.5034626650577712,0.709551030622725,0.45180344652531756,0.7139419309810241,0.26766558451881817,0.5343191224724315,0.5641628749984083,0.7259756955126795,0.5088736978955032
9,0.4471364691680355,0.0005,14.166376113891602,0.5025898681612136,0.708935729217546,0.46176310919013064,0.7053864171303682,0.28131941748676775,0.5319168078162049,0.5475643084365736,0.7167142794356788,0.4982752218220019
10,0.4357325657635876,0.0005,15.828428983688354,0.48204184356731755,0.6942923329313939,0.4583428869640579,0.7208384009882787,0.29609237978520464,0.5574077962735672,0.581639308076911,0.7450440601239398,0.5276455297049985
11,0.43168697190652366,0.0005,14.11406683921814,0.4668212339060126,0.683243173332901,0.44576776417782094,0.72776430225367,0.3280663018855079,0.5757409730763734,0.5947211081787214,0.7510251395420384,0.5484085517897623
12,0.42030076280748746,0.0005,14.525912046432495,0.5231623088436328,0.7232995982603839,0.4925305378269855,0.7216420272250604,0.25123944676925586,0.5547317990957544,0.5809753274263151,0.7643008614248671,0.533439827728178
