epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6184397197122875,0.0005,27.431164503097534,0.6029052865662918,0.7764697589515588,0.5271228854320833,0.6537467902728545,0.13509109009509032,0.3717234323606362,0.42023480089131865,0.665424339647519,0.3570640951513395
2,0.5559243628597704,0.0005,32.19032144546509,0.5943556615552461,0.7709446553127184,0.5006778622200476,0.6761160753531942,0.15708560927034892,0.4060130932541209,0.4774984598768726,0.6736391904364261,0.36903670937766553
3,0.525686780948507,0.0005,32.83503723144531,0.5909250652112125,0.7687165050987343,0.4903164384114808,0.6840344215763994,0.16199378153309654,0.41934075686744887,0.4925105641642472,0.6911588581725487,0.3979133495156909
4,0.5119392198456872,0.0005,31.922972440719604,0.543923007961157,0.7375113612420876,0.5336213754280242,0.694124947539738,0.2347674031856102,0.4985999257796035,0.5183380952696252,0.7265267217509779,0.4857881327698746
5,0.4940638456714416,0.0005,33.210137128829956,0.5551445395060496,0.7450802235370696,0.49334483100057813,0.6909536339194868,0.19205457532256573,0.47366603646932937,0.5129076215283314,0.7060277765569376,0.45481100798060486
6,0.46760411983022754,0.0005,37.30989909172058,0.5243394006439889,0.7241128369556701,0.5036537431424292,0.7050970734627137,0.24832938612120323,0.5196164091065208,0.5445280603941236,0.7406166219839142,0.5111678144105007
7,0.45433287870626016,0.0005,33.9806923866272,0.5478738181879669,0.740184989166875,0.5266638320909882,0.7011993428802729,0.229058805812156,0.5118990460074245,0.5358315989025655,0.7502087636795147,0.5136546613360211
8,0.4480443065446901,0.0005,31.363372564315796,0.5193201560570775,0.7206387139594136,0.5083903342270112,0.7178994796400672,0.2694182676839574,0.536846048479937,0.5759844765550387,0.7546730101525074,0.5296682375610363
9,0.44068348594302065,0.0005,26.395148754119873,0.4968097747552787,0.7048473414543597,0.4537290389923861,0.7246250954604769,0.27821038704201484,0.5379515525960024,0.5896830479308017,0.7428547883795543,0.5030526423210913
10,0.431325287171792,0.0005,37.32348680496216,0.46045237927084126,0.6785664147825482,0.45066149144592155,0.7249121457833416,0.3406209868160954,0.5846381209925078,0.591941634689144,0.769668834878917,0.5592575053698549
11,0.425235702131519,0.0005,33.62582039833069,0.5040074149522789,0.7099347962681354,0.44838396356909316,0.7232863554393933,0.28764807220935407,0.543592802186154,0.5845268729049795,0.7447825561464423,0.5119138668883789
12,0.41693025595465394,0.0005,30.501466035842896,0.4477872591685595,0.6691690811510642,0.43333008519345734,0.73465274555416,0.3536251540342822,0.5981334367874104,0.6101085395773227,0.7712587351118533,0.5815153134809992
