run_name,variant,seed,model,device,runtime_s,epochs_run,best_epoch,n_params,test_ground_truth_ddi_rate,val_jaccard,val_prauc,val_f1,val_precision,val_recall,val_avg_drugs,val_ddi_rate,val_precision@10,val_jaccard@10,val_hit_rate@10,val_n_visits,test_jaccard,test_prauc,test_f1,test_precision,test_recall,test_avg_drugs,test_ddi_rate,test_precision@10,test_jaccard@10,test_hit_rate@10,test_n_visits
full_seed0,full,0,hgdr,cuda,265.01643657684326,15,15,493022,0.08688901741948617,0.31276393971163596,0.5592376007349881,0.4465513499452527,0.6649937191003358,0.367944607976068,14.095173351461591,0.08112784859018926,0.6700883752549287,0.23838606041009358,0.9952413324269205,1471,0.32199152009574566,0.5637747170236656,0.45705126318385425,0.6634343456300251,0.38168298058093975,14.867340067340068,0.07989682381927526,0.6783164983164983,0.24048865113944815,0.9919191919191919,1485
no_ddi_seed0,no_ddi,0,hgdr,cuda,254.38557529449463,15,15,476510,0.08688901741948617,0.3150623851885414,0.5678227340268432,0.4504588273593439,0.6800070177759757,0.36904569202326,14.129843643779742,0.11452218412672574,0.6765465669612508,0.2416003550927179,0.9932019034670292,1471,0.32658031737031523,0.5684441474727806,0.46337552907896584,0.6707141807706191,0.38560101200088653,14.984511784511785,0.11374720816810246,0.6807407407407408,0.2411684168813797,0.9939393939393939,1485
no_ddi_loss_seed0,no_ddi_loss,0,hgdr,cuda,258.56014370918274,15,14,493022,0.08688901741948617,0.3261388304113084,0.5675025033770488,0.46496664302328644,0.6707610284984762,0.3850188156209199,14.889870836165873,0.1128797410198052,0.6768184908225697,0.24168127621938082,0.9918422841604351,1471,0.33240931592910256,0.5678818756317366,0.4716624182456198,0.6655065302743182,0.3962861087303999,15.538720538720538,0.1111915266136791,0.681952861952862,0.24161537171445005,0.9905723905723905,1485
no_mol_seed0,no_mol,0,hgdr,cuda,198.17965054512024,15,13,469150,0.08688901741948617,0.30338236162425103,0.547872245023159,0.4365175348526253,0.670719860806757,0.34973311880588315,13.278721957851802,0.0839128500515126,0.6593473827328349,0.23220713274140828,0.9918422841604351,1471,0.30986299151711605,0.5504627211311934,0.44422163466385023,0.6691809197693802,0.3598563363415052,13.86936026936027,0.08439361089741176,0.667003367003367,0.23354909155159084,0.9905723905723905,1485
homo_graph_seed0,homo_graph,0,hgdr,cuda,199.91962146759033,15,15,409950,0.08688901741948617,0.2970374083407782,0.5570496484277125,0.42781289927171107,0.6823048262514207,0.3427782512588521,12.930659415363698,0.08520134068650756,0.6692726036709721,0.23798420227854417,0.9918422841604351,1471,0.3051117095740691,0.5603197271661456,0.4352938362243245,0.6807221746510941,0.3518493612636782,13.373063973063973,0.08368593738646336,0.674006734006734,0.23804803358507537,0.9892255892255892,1485
no_proc_seed0,no_proc,0,hgdr,cuda,155.6458420753479,12,8,459742,0.08688901741948617,0.2839819871346255,0.5275457156648772,0.41469555443431144,0.6554660474801626,0.33067541157458247,12.824609109449355,0.08650161322183446,0.6490142760027192,0.2282055593243475,0.9932019034670292,1471,0.29204478521976857,0.5288696486761656,0.4230572401541013,0.6498480170772063,0.34102551739109466,13.374410774410775,0.08685755577635264,0.6544781144781144,0.22843583165271225,0.9919191919191919,1485
no_history_seed0,no_history,0,hgdr,cuda,157.0744113922119,15,15,443166,0.08688901741948617,0.31948739600777576,0.5656829373673745,0.45470105982673564,0.6656362237379342,0.3791463227878447,14.494221617946975,0.07790278280078587,0.6782460910944935,0.24284585077510581,0.9925220938137321,1471,0.32607771966808774,0.5692679013596987,0.4614327434493119,0.6687894947822896,0.3864647794362438,14.858585858585858,0.07875094919711814,0.6835690235690235,0.24359642568357262,0.9919191919191919,1485
no_gnn_seed0,no_gnn,0,hgdr,cuda,75.54849886894226,5,1,393182,0.08688901741948617,0.22751763746534986,0.4291876288084664,0.3599804338894073,0.5744572105890936,0.28539046078103375,12.547246770904147,0.08883775744991301,0.5832766825288919,0.19333398160579338,0.947654656696125,1471,0.22969564946731227,0.4312692390652274,0.36328333332833496,0.5796672463339129,0.28452564588448975,12.543434343434344,0.08937957117828638,0.5876767676767677,0.1948361188267663,0.9434343434343434,1485
gnn_1layer_seed0,gnn_1layer,0,hgdr,cuda,200.89731526374817,15,13,443102,0.08688901741948617,0.3119903289439067,0.5586310097276449,0.4466918322767996,0.6736265274979744,0.36412274091916186,13.813052345343303,0.0885056970436374,0.671176070700204,0.23912047734832348,0.991162474507138,1471,0.3188956783029494,0.5622411138162808,0.4537941457511495,0.6697581623658495,0.37444568625547464,14.362289562289563,0.08732988015437741,0.6754882154882155,0.23914645062317935,0.9912457912457913,1485
baseline_mlp_seed0,baseline_mlp,0,mlp,cuda,104.98979330062866,15,15,1330782,0.08688901741948617,0.3631237669335896,0.6300267941689165,0.5099107286600659,0.7276420398934509,0.4197622982409893,14.819850441876275,0.1030222243765299,0.7278042148198504,0.269176923786693,0.9945615227736234,1471,0.3636559182647606,0.6273474009603847,0.5100015085293743,0.7189747379085591,0.42116816324139733,15.171717171717171,0.09963633339032471,0.7299663299663299,0.2667172350093305,0.9952861952861953,1485
baseline_lr_seed0,baseline_lr,0,lr,cuda,120.99298810958862,15,13,2781540,0.08688901741948617,0.3590938161736362,0.6272251723204448,0.5069853491255838,0.7245803832914977,0.4167277275442319,14.384092454112848,0.10026594210120487,0.729775662814412,0.27184929670973873,0.9952413324269205,1471,0.3608779974146238,0.6224664020717282,0.5076840701715921,0.713087886559783,0.41806817529867235,14.774410774410775,0.1000442184390891,0.7284848484848484,0.2668788846859677,0.9966329966329966,1485
baseline_nearest_seed0,baseline_nearest,0,nearest,cuda,18.86768651008606,0,0,1,0.08688901741948617,0.21281526820977023,0.4506782473430114,0.33701499872401697,0.6068516220265088,0.28061431352325916,12.544527532290958,0.09122712022762984,0.5780421481985044,0.1936447699150151,0.9462950373895309,1471,0.20997378006308434,0.4473898812091728,0.33481912863954594,0.6111460071996674,0.2732479520856697,12.435016835016835,0.09589618132624791,0.5775757575757576,0.19195867751935106,0.9393939393939394,1485
full_seed1,full,1,hgdr,cuda,242.00732588768005,15,14,493022,0.08688901741948617,0.31781211875079907,0.5586422291716014,0.4536117704528437,0.6624624717797576,0.3763908847620573,14.573759347382733,0.07755168593749251,0.6681169272603671,0.23781147839161085,0.9938817131203264,1471,0.32458417283269986,0.5604988978307104,0.4609879862169869,0.6588654602599651,0.38745566218643046,15.272727272727273,0.07593272291087048,0.673939393939394,0.23807774586938601,0.9905723905723905,1485
no_ddi_seed1,no_ddi,1,hgdr,cuda,256.8724663257599,15,14,476510,0.08688901741948617,0.31686449828683677,0.5616359239636463,0.4536484271620094,0.6759716228455518,0.3698156468407205,14.101971447994561,0.1178735632183908,0.672331747110809,0.2394422795514968,0.9932019034670292,1471,0.32174204909866094,0.5624498936517889,0.4587579918364949,0.6707959144203138,0.3783818374073491,14.672053872053873,0.1167105422050477,0.6773737373737374,0.23941574206844002,0.9905723905723905,1485
no_ddi_loss_seed1,no_ddi_loss,1,hgdr,cuda,257.5253167152405,15,14,493022,0.08688901741948617,0.32899940522763305,0.5695340220074887,0.4675910362669612,0.6695169574395203,0.3922000665961418,15.291638341264447,0.10854256307720765,0.6787219578518014,0.24303350104408725,0.9932019034670292,1471,0.33384485506564704,0.569596160513893,0.47279141972698907,0.6609621425889455,0.4029244796961795,15.942087542087542,0.10756973728534959,0.6797979797979798,0.2413619057654843,0.9912457912457913,1485
no_mol_seed1,no_mol,1,hgdr,cuda,217.5119125843048,15,12,469150,0.08688901741948617,0.30447683391509356,0.5442030843992596,0.43779299055149173,0.6620633372301515,0.3547616579914018,13.78585995921142,0.08267101048419717,0.6567641060503059,0.23131177223776683,0.991162474507138,1471,0.31089607352627247,0.5471251368011132,0.4445195655896894,0.6605969252578094,0.364047907398648,14.296296296296296,0.0838323047108693,0.6671380471380471,0.23349743961671096,0.9919191919191919,1485
homo_graph_seed1,homo_graph,1,hgdr,cuda,204.88484930992126,15,14,409950,0.08688901741948617,0.3028461021960846,0.5527082522661203,0.43285752734720795,0.6707763010761985,0.35262147032831664,13.720598232494902,0.08665021431354722,0.6653297076818491,0.23588442851725316,0.990482664853841,1471,0.3110333953876368,0.5581564041642186,0.4424676939977914,0.6700075761714588,0.3663658429274039,14.421548821548821,0.08696415522297406,0.6729292929292929,0.2374148179061161,0.9939393939393939,1485
no_proc_seed1,no_proc,1,hgdr,cuda,178.5291929244995,15,13,459742,0.08688901741948617,0.2844836835020348,0.5351406676197511,0.41439826426911963,0.6657733743224749,0.3318122168360333,13.007477906186267,0.08945103971089387,0.6543167912984365,0.23077059424619922,0.9925220938137321,1471,0.2907478611006242,0.5382912252614808,0.4200552451739614,0.6585852999033277,0.3412741456448281,13.57979797979798,0.09012725868063007,0.6605387205387206,0.23121096392768675,0.9892255892255892,1485
no_history_seed1,no_history,1,hgdr,cuda,132.54186749458313,15,15,443166,0.08688901741948617,0.31628470294482386,0.5675586877600471,0.45055988958946047,0.6759576713176454,0.37115008344437855,13.970088375254928,0.07542315504400812,0.6777702243371856,0.24236573649301602,0.9918422841604351,1471,0.3212498481921005,0.5697997330356463,0.45566371579354015,0.6796904285618411,0.3797695561724704,14.504377104377104,0.07692417644200074,0.6795286195286194,0.2413946714274625,0.9925925925925926,1485
no_gnn_seed1,no_gnn,1,hgdr,cuda,186.35501527786255,15,15,393182,0.08688901741948617,0.2826051441465039,0.5306160832184593,0.4121102049094047,0.6692829209871031,0.3262455040101522,12.8606390210741,0.09315055309268738,0.6526852481305234,0.22867052156409434,0.9918422841604351,1471,0.28903534089818517,0.5309142265066836,0.4179157287093746,0.6590049477140405,0.3373952877914974,13.472727272727273,0.09091058839032747,0.6558922558922559,0.22776619362157982,0.9905723905723905,1485
gnn_1layer_seed1,gnn_1layer,1,hgdr,cuda,236.7108325958252,15,13,443102,0.08688901741948617,0.31375722681462614,0.5572733476009261,0.44770143832972825,0.6609158603412357,0.37042834559105114,14.22093813732155,0.08285205100316088,0.6671651937457512,0.2374836325554164,0.9925220938137321,1471,0.3191818345253843,0.5608669595644384,0.4531657942592782,0.6606296439658466,0.37935645010103763,14.732659932659933,0.08257040349466536,0.6722558922558922,0.23733156003043818,0.9912457912457913,1485
baseline_mlp_seed1,baseline_mlp,1,mlp,cuda,78.56137800216675,15,14,1330782,0.08688901741948617,0.3615003325474281,0.628598414438469,0.5083644452924861,0.7298813415914008,0.4168817701863964,14.730115567641061,0.10288756015750328,0.7275322909585314,0.2693702530517167,0.9938817131203264,1471,0.36295291514324707,0.6249104711562666,0.5093101296762367,0.7176698841259057,0.4194912843000825,15.135353535353536,0.10089088202421752,0.7314478114478117,0.26756828582256587,0.9952861952861953,1485
baseline_lr_seed1,baseline_lr,1,lr,cuda,70.4389021396637,15,15,2781540,0.08688901741948617,0.3597505320257614,0.6271907644189049,0.5076463312405085,0.7260437459131935,0.4171271204187313,14.378653976886472,0.10028421261611443,0.7295037389530931,0.27198700943342374,0.9945615227736234,1471,0.3607738666215401,0.6223097366501502,0.5075122203411189,0.7132975834476261,0.41784448955470366,14.778451178451178,0.10004703621788777,0.7296296296296296,0.2676985607112129,0.9966329966329966,1485
baseline_nearest_seed1,baseline_nearest,1,nearest,cuda,8.488751411437988,0,0,1,0.08688901741948617,0.21281526820977023,0.4506782473430114,0.33701499872401697,0.6068516220265088,0.28061431352325916,12.544527532290958,0.09122712022762984,0.5780421481985044,0.1936447699150151,0.9462950373895309,1471,0.20997378006308434,0.4473898812091728,0.33481912863954594,0.6111460071996674,0.2732479520856697,12.435016835016835,0.09589618132624791,0.5775757575757576,0.19195867751935106,0.9393939393939394,1485
