epoch,train_loss,train_bce,train_ddi,epoch_time_s,lr,val_jaccard,val_prauc,val_f1,val_precision,val_recall,val_avg_drugs,val_ddi_rate,val_precision@10,val_jaccard@10,val_hit_rate@10,val_n_visits,val_select_score
1,0.16680092760857115,0.16457129460065922,0.044592675812383915,15.440755128860474,0.002,0.04406902735631175,0.4137885549726068,0.08175951404872397,0.6600385225470202,0.044912353317217685,1.7620666213460232,0.0,0.53025152957172,0.1679509387036754,0.9367777022433719,1471,0.04406902735631175
2,0.12239131109511599,0.11979746850247079,0.05187684495715385,9.42659044265747,0.002,0.1903286769890335,0.44119045096174714,0.3101770807620967,0.6261940944469836,0.21597200156645877,8.80693405846363,0.024396295071121402,0.5966689326988444,0.1981026650451542,0.9435757987763427,1471,0.1903286769890335
3,0.11758897215762038,0.11497636884450912,0.0522520716520066,9.584786415100098,0.002,0.2021681411510716,0.449676663884096,0.3246373364222774,0.6266044751003962,0.23013126955150745,9.484704282800816,0.04906336050786072,0.6000679809653298,0.20052212870329367,0.9612508497620667,1471,0.2021681411510716
4,0.11511595388676257,0.11254358830604147,0.051447319936879135,8.921868801116943,0.002,0.2287208569910726,0.48962135913577903,0.3590125661856436,0.6610269948782954,0.26099584288334865,10.219578518014956,0.07214928208279792,0.6187627464309994,0.21379972271916398,0.9891230455472467,1471,0.2287208569910726
5,0.11245994697859947,0.10990613778220847,0.05107618575083449,9.957915544509888,0.002,0.25320884516447717,0.5173914705923462,0.3779009102266549,0.6707940562851021,0.2904239927655403,11.390210740992522,0.08165414743678825,0.6382732834806255,0.22376326515573045,0.9898028552005439,1471,0.25320884516447717
6,0.1087681806467949,0.10616861664234324,0.05199128516176914,9.236698150634766,0.002,0.26172269225043987,0.5269710373618717,0.38595363892943874,0.6708938451865707,0.30116833554850847,11.831407205982325,0.06752707997234386,0.6481985044187627,0.22730564905848644,0.991162474507138,1471,0.26172269225043987
7,0.10693140993727014,0.10434187948703766,0.051790612492155524,8.871142148971558,0.002,0.27276206944861514,0.5309233128502883,0.39498610897635833,0.6735818565209201,0.31265334577373854,12.06254248810333,0.07289665954120537,0.6492861998640381,0.22805180347754614,0.9898028552005439,1471,0.27276206944861514
8,0.10542765640197917,0.10283103933993806,0.051932345917250246,9.062970876693726,0.002,0.27037729056022997,0.537268917920059,0.39138946917841283,0.6860197274938271,0.30575494524930386,11.60707002039429,0.0719607040523946,0.6533650577838205,0.22988250341818972,0.9870836165873556,1471,0.27037729056022997
9,0.10377497717421105,0.10118074271273106,0.05188469834467198,7.86877179145813,0.002,0.28243400759180204,0.546215186067463,0.40899030585307783,0.6922287598444601,0.3172211510858079,11.777702243371856,0.07679085920384342,0.6641740312712441,0.23538689254107947,0.990482664853841,1471,0.28243400759180204
10,0.10233478676131431,0.09972730913060776,0.05214955118742395,7.667187690734863,0.002,0.29343782179347533,0.555660828262025,0.42169128167273084,0.6910442037951159,0.33460638721731395,12.434398368456833,0.08020130837816676,0.6720598232494902,0.2396418463987861,0.9918422841604351,1471,0.29343782179347533
11,0.10082592751751555,0.09820142340786914,0.05249008488781909,8.115399837493896,0.002,0.29507227833620986,0.5589112825236614,0.42372914469024936,0.6914976007005097,0.3360993263172921,12.406526172671652,0.08429059298354548,0.6722637661454792,0.23930910348913334,0.9918422841604351,1471,0.29507227833620986
12,0.09973130993386532,0.09710925072431564,0.05244117507592161,7.507030725479126,0.002,0.29235074055448357,0.5591491113096472,0.4188576870060669,0.6909921445818932,0.3329004858123691,12.256968048946295,0.07924761420601162,0.671380013596193,0.23905864866619006,0.9918422841604351,1471,0.29235074055448357
13,0.09903492826096555,0.09640539928953698,0.052590586482844454,8.197563409805298,0.002,0.2993473425639746,0.5625879015785392,0.4268862121231004,0.681507069785916,0.34610258491985146,13.03467029231815,0.08092969749091132,0.6727396329027872,0.23950206856266065,0.9918422841604351,1471,0.2993473425639746
14,0.09824483207565674,0.09561976600200572,0.052501320997451216,9.028651475906372,0.002,0.31146379000415164,0.5656906704081932,0.44334101426577954,0.6805271173596437,0.36210065219719056,13.782460910944936,0.08067441884849692,0.6775662814411965,0.2422607266376709,0.9932019034670292,1471,0.31146379000415164
15,0.09755438391832595,0.0949186107262652,0.05271546503013753,8.62827181816101,0.002,0.31948739600777576,0.5656830630346426,0.45470105982673564,0.6656362237379342,0.3791463227878447,14.494221617946975,0.07790278280078587,0.6782460910944935,0.24284585077510581,0.9925220938137321,1471,0.31948739600777576
