epoch,train_loss,train_bce,train_ddi,epoch_time_s,lr,val_jaccard,val_prauc,val_f1,val_precision,val_recall,val_avg_drugs,val_ddi_rate,val_precision@10,val_jaccard@10,val_hit_rate@10,val_n_visits,val_select_score
1,0.16923475978856392,0.16713802389642027,0.041934726720160624,11.600728511810303,0.002,0.08097740744824825,0.41916672706371727,0.14592155363368708,0.6851348289145706,0.08469781185127019,3.0367097212780423,0.0,0.5535690006798096,0.17953609356998534,0.9367777022433719,1471,0.08097740744824825
2,0.12346739987743661,0.12085995284166742,0.05214893802049312,12.652157545089722,0.002,0.1713285718327232,0.44390149022992803,0.28476147675737096,0.6689362057988842,0.19095350894495422,6.9007477906186265,0.04184331797235023,0.5959891230455472,0.19516155234045465,0.9449354180829368,1471,0.1713285718327232
3,0.11899294751755735,0.1163906122141696,0.05204670979304517,12.960267066955566,0.002,0.17999043834693376,0.46090708135137287,0.2964745218554518,0.6667190842241828,0.2002798911465596,7.539089055064582,0.03199460163812361,0.607205982324949,0.20338630455718523,0.9877634262406526,1471,0.17999043834693376
4,0.11640285795673411,0.11382645828292724,0.05152800203637874,11.229870319366455,0.002,0.18902876835127314,0.4903175827598507,0.30216340809292663,0.7035948736662536,0.20365620563030074,6.781781101291639,0.0315064942545287,0.6178110129163834,0.21578929120462578,0.9891230455472467,1471,0.18902876835127314
5,0.11488159999568412,0.1123257892880034,0.0511162132024765,11.245461702346802,0.002,0.22591363204508763,0.4947913852895945,0.34726748184345235,0.6719701084399758,0.2542679453311603,9.024473147518695,0.07336251965826497,0.622093813732155,0.21664969625406627,0.9877634262406526,1471,0.22591363204508763
6,0.11321538972093705,0.11066974398303539,0.050912918404061744,11.79575490951538,0.002,0.2512495400930656,0.5142290753697157,0.37072046565621397,0.6632222949211306,0.2930204463943245,11.443915703602991,0.07934411644087942,0.628619986403807,0.21990217313688715,0.9870836165873556,1471,0.2512495400930656
7,0.11053301647622535,0.10794977225521778,0.05166487387837248,12.476287364959717,0.002,0.25308207274901195,0.5224388691805871,0.37282294498745433,0.6733095923278868,0.287713894427361,10.721278042148198,0.0852901165197847,0.6485384092454113,0.22858374020041985,0.9925220938137321,1471,0.25308207274901195
8,0.10878740362030395,0.10620433139674207,0.051661435276904005,11.889484167098999,0.002,0.2839819871346255,0.5275457156648772,0.41469555443431144,0.6554660474801626,0.33067541157458247,12.824609109449355,0.08650161322183446,0.6490142760027192,0.2282055593243475,0.9932019034670292,1471,0.2839819871346255
9,0.10761636907749987,0.10501866898638137,0.051953992310990675,12.145085096359253,0.002,0.2816546700295851,0.5300208233070095,0.41140251379848114,0.6564797350641838,0.326137781213892,12.682528891910264,0.0908691114597213,0.6489462950373895,0.22824382476497249,0.9932019034670292,1471,0.2816546700295851
10,0.10626102096222817,0.10366113737542579,0.051997667852234336,10.81085753440857,0.002,0.28183691283470486,0.5328381169601515,0.4099698845080092,0.6604766795428578,0.33124013308171324,13.01155676410605,0.0901828469396037,0.6515975526852481,0.22909349649391747,0.9932019034670292,1471,0.28183691283470486
11,0.10558782280125517,0.1029880441566731,0.05199558359194309,11.546424150466919,0.001,0.2731610491655536,0.5317521346920205,0.3989760457852828,0.6751516418440044,0.31625356416073447,11.915703602991162,0.09083815684939281,0.6510537049626105,0.22872073238760687,0.9938817131203264,1471,0.2731610491655536
12,0.10474364507071515,0.102152666671479,0.05181957892280944,11.498052597045898,0.001,0.2702539635388238,0.5328229734764139,0.3947385018693868,0.671252919133544,0.30957520615012263,11.8137321549966,0.08940703375780451,0.6488783140720599,0.2276615278124245,0.9932019034670292,1471,0.2702539635388238
