epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.6352415736070047,0.0005,11.803786277770996,0.6121582643883647,0.7824054347896394,0.5266880508792486,0.6485837067026059,0.12600797196870034,0.35575686622919545,0.40771904616954574,0.6530951962378588,0.3581851811691499
2,0.5753954314729633,0.0005,12.154987096786499,0.6152184595806667,0.7843586294423404,0.5634326740269756,0.6651695584470386,0.1361412712386431,0.39518324322461396,0.449643168289779,0.6807052916098976,0.37385044754899005
3,0.5354853998044494,0.0005,18.343929767608643,0.5366035716741056,0.7325323007718537,0.48470909241863985,0.6921549643652442,0.22575281739185082,0.48061516762763995,0.5129062459644794,0.7224854964180547,0.4695805491783606
4,0.5043771619818841,0.0005,13.444484949111938,0.5309013929359704,0.7286298051383641,0.4799503163484832,0.6952144774269895,0.2242753836787174,0.5021437978742306,0.5207920694134202,0.7247775018678856,0.4932952274526232
5,0.4810409150742008,0.0005,14.005286455154419,0.5428002356251372,0.7367497781642945,0.5181853212906967,0.6932746899588956,0.22767701694693465,0.49855890270406694,0.5164255034362771,0.7409759152639213,0.48828672963459785
6,0.4657696286755044,0.0005,17.57733941078186,0.5160966809339715,0.7183986921855938,0.4954358841376866,0.7057787702015009,0.26534196833539775,0.5192360636530278,0.5468915392719537,0.7360194260097568,0.49539344804855184
7,0.4571856762692793,0.0005,14.248386144638062,0.4990293552839413,0.7064200983012455,0.4641187175810717,0.7074878854061475,0.2920957871630801,0.5474448723623295,0.5506660678968978,0.740545202830396,0.5133551178111573
8,0.4405349054775212,0.0005,18.956180095672607,0.49435364675398175,0.7031028706768176,0.4652873435225124,0.7045690308248473,0.28296850694751513,0.5418373493972326,0.5433779997749342,0.7518904100558168,0.5258485177605839
9,0.4309342631461783,0.0005,22.27356266975403,0.45609072677767026,0.6753448946854268,0.44782990918887,0.7291615225668949,0.3405668365544941,0.5881998042713023,0.6020491752979676,0.7650936140289193,0.5621667730336404
10,0.4181536077600385,0.0005,19.55175518989563,0.46540967340791334,0.6822094058336585,0.4531599961591689,0.721768161188503,0.33133362799791544,0.5767533170211828,0.5808663849924757,0.7646629015953941,0.5610139918804506
11,0.40770502053026264,0.0005,22.253897666931152,0.43897723819962636,0.6625535738335628,0.4375682519539032,0.7372788164506209,0.3603271665317324,0.6094148083756922,0.6184848689593659,0.780288313628972,0.5879453906763722
12,0.3953878362504951,0.0005,19.73899745941162,0.46983800317164276,0.685447301527727,0.47123239154872415,0.7285172837930088,0.3165319332878144,0.5937498027086934,0.5991779483386906,0.7760284358106624,0.5771924150659337
