epoch,train_mse,lr,epoch_time_s,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc
1,0.62226176576192,0.0005,18.375142812728882,0.60934628610628,0.7806063579719806,0.5586942842145499,0.651065679101437,0.1320596188250011,0.3681318748158393,0.4113985595850846,0.6795252274425351,0.3783547564013737
2,0.5639714344982838,0.0005,16.24588131904602,0.5648152576757417,0.7515419201054201,0.5210937657256963,0.6679875058575848,0.18463513115841715,0.43686239730422227,0.4578627354054167,0.7085746934470181,0.4276142696116577
3,0.5356179947676336,0.0005,18.167468070983887,0.6048545197292088,0.777723935422595,0.5843123449349069,0.6721252731946981,0.19528660771113868,0.45614505888530926,0.4648071711406205,0.7225975695512681,0.45849202047723325
4,0.5041650367720628,0.0005,16.9242000579834,0.5366310337930188,0.7325510451791184,0.496137945691525,0.6931304003491999,0.22123045122583546,0.4822335859021634,0.5176393284645031,0.7262981804597197,0.4662800548886493
5,0.4955904120997342,0.0005,16.85496711730957,0.5191593927036932,0.7205271630575028,0.4859303783671277,0.7035240300489324,0.24500049921104292,0.5078892084920903,0.5401294883342292,0.7333131894695204,0.4727475839738995
6,0.48084450988240457,0.0005,15.588708400726318,0.5243280021071199,0.7241049662218316,0.4617244580224682,0.7129426059888406,0.24585818880156754,0.5114673115614832,0.5644047887725726,0.7320584098800158,0.48049594074491997
7,0.46339047497652364,0.0005,17.667653560638428,0.5149161672294511,0.7175765932842647,0.48227999071541916,0.7117278976984757,0.2642156991920485,0.5145414030648952,0.5577076996610003,0.742272996967433,0.49257741919933795
8,0.458266405315027,0.0005,16.99099349975586,0.5082053438062926,0.7128852248477959,0.4496804852208025,0.7167449716504362,0.2846666352909391,0.5343124749455456,0.5744719792928387,0.7342031819979783,0.49946926687468346
9,0.45291706951117827,0.0005,16.68406581878662,0.4889395570114356,0.6992421304608551,0.46096333350924495,0.7186969902907426,0.28555593523124506,0.5490422787508034,0.5796354378916287,0.754688392739419,0.5346960401374127
10,0.44291452629566164,0.0005,19.92113161087036,0.5023480077965633,0.7087651287955434,0.4905352181087288,0.7084938993206348,0.2704881202595978,0.5381175088588515,0.5500857244580516,0.7564601371247748,0.5187273477112032
11,0.43996113997098296,0.0005,17.583052396774292,0.5017838879334628,0.7083670573463047,0.4556255510802782,0.7219139796947253,0.2809453907944677,0.5317254716152814,0.583292811783006,0.7474497868412957,0.5236615100429722
12,0.4249688747527198,0.00025,19.617204666137695,0.49237279056763544,0.7016928035598167,0.44367948573445243,0.728704000281317,0.3024663372666458,0.5502030526075253,0.5982536786862241,0.7533676877774359,0.5084465727394876
